symbol	company_name	LastSale	MarketCap	IPOyear	Sector	industry	quote
ADX	Adams Diversified Equity Fund, Inc.	13.19	$1.29B	n/a	n/a	n/a	http://www.nasdaq.com/symbol/adx
PEO	Adams Natural Resources Fund, Inc.	19.89	$558.77M	n/a	n/a	n/a	http://www.nasdaq.com/symbol/peo
AGRO	Adecoagro S.A.	10.37	$1.27B	2011	Consumer Non-Durables	Farming/Seeds/Milling	http://www.nasdaq.com/symbol/agro
ADPT	Adeptus Health Inc.	44.84	$1.16B	2014	Health Care	Hospital/Nursing Management	http://www.nasdaq.com/symbol/adpt
AAP	Advance Auto Parts Inc	158.57	$11.68B	n/a	Consumer Services	Other Specialty Stores	http://www.nasdaq.com/symbol/aap
WMS	Advanced Drainage Systems, Inc.	23.1	$1.26B	2014	Capital Goods	Containers/Packaging	http://www.nasdaq.com/symbol/wms
ASX	Advanced Semiconductor Engineering, Inc.	6.03	$9.38B	n/a	Technology	Semiconductors	http://www.nasdaq.com/symbol/asx
APFH	AdvancePierre Foods Holdings, Inc.	25.85	$1.99B	2016	Consumer Non-Durables	Packaged Foods	http://www.nasdaq.com/symbol/apfh
AAV	Advantage Oil & Gas Ltd	6.95	$1.28B	n/a	Energy	Oil & Gas Production	http://www.nasdaq.com/symbol/aav
AVK	Advent Claymore Convertible Securities and Income Fund	15.29	$360.55M	2003	n/a	n/a	http://www.nasdaq.com/symbol/avk
AGC	Advent Claymore Convertible Securities and Income Fund II	5.88	$189.39M	2007	n/a	n/a	http://www.nasdaq.com/symbol/agc
LCM	Advent/Claymore Enhanced Growth & Income Fund	8.4	$114.27M	2005	n/a	n/a	http://www.nasdaq.com/symbol/lcm
ACM	AECOM	30.66	$4.71B	2007	Consumer Services	Military/Government/Technical	http://www.nasdaq.com/symbol/acm
ANW	Aegean Marine Petroleum Network Inc.	10.29	$521.66M	2006	Energy	Oil Refining/Marketing	http://www.nasdaq.com/symbol/anw
AEB	Aegon NV	24.91	n/a	n/a	Finance	Life Insurance	http://www.nasdaq.com/symbol/aeb
AED	Aegon NV	26.27	n/a	n/a	Finance	Life Insurance	http://www.nasdaq.com/symbol/aed
AEG	Aegon NV	4.14	$11.08B	n/a	Finance	Life Insurance	http://www.nasdaq.com/symbol/aeg
AEH	Aegon NV	25.98	n/a	n/a	Finance	Life Insurance	http://www.nasdaq.com/symbol/aeh
AEK	Aegon NV	26.87	n/a	n/a	Finance	Life Insurance	http://www.nasdaq.com/symbol/aek
AER	Aercap Holdings N.V.	40.57	$7.62B	2006	Technology	Diversified Commercial Services	http://www.nasdaq.com/symbol/aer
HIVE	Aerohive Networks, Inc.	6.51	$329.4M	2014	Technology	EDP Services	http://www.nasdaq.com/symbol/hive
AJRD	Aerojet Rocketdyne Holdings, Inc. 	18.36	$1.28B	n/a	Capital Goods	Military/Government/Technical	http://www.nasdaq.com/symbol/ajrd
AET	Aetna Inc.	116.73	$40.95B	n/a	Health Care	Medical Specialities	http://www.nasdaq.com/symbol/aet
AMG	Affiliated Managers Group, Inc.	140.45	$7.57B	n/a	Finance	Investment Managers	http://www.nasdaq.com/symbol/amg
MGR	Affiliated Managers Group, Inc.	26.59	n/a	2012	Finance	Investment Managers	http://www.nasdaq.com/symbol/mgr
AFL	Aflac Incorporated	73.99	$30.3B	n/a	Finance	Accident &Health Insurance	http://www.nasdaq.com/symbol/afl
AFSD	Aflac Incorporated	26.65	n/a	n/a	Finance	Accident &Health Insurance	http://www.nasdaq.com/symbol/afsd
MITT	AG Mortgage Investment Trust, Inc.	16.01	$446.36M	2011	n/a	n/a	http://www.nasdaq.com/symbol/mitt
MITT^A	AG Mortgage Investment Trust, Inc.	25.49	n/a	n/a	n/a	n/a	http://www.nasdaq.com/symbol/mitt^a
MITT^B	AG Mortgage Investment Trust, Inc.	24.99	n/a	n/a	n/a	n/a	http://www.nasdaq.com/symbol/mitt^b
AGCO	AGCO Corporation	47.59	$3.86B	n/a	Capital Goods	Industrial Machinery/Components	http://www.nasdaq.com/symbol/agco
A	Agilent Technologies, Inc.	47	$15.3B	1999	Capital Goods	Biotechnology: Laboratory Analytical Instruments	http://www.nasdaq.com/symbol/a
AEM	Agnico Eagle Mines Limited	53.57	$12.03B	n/a	Basic Industries	Precious Metals	http://www.nasdaq.com/symbol/aem
ADC	Agree Realty Corporation	48.35	$1.14B	n/a	Consumer Services	Real Estate Investment Trusts	http://www.nasdaq.com/symbol/adc
GRO	Agria Corporation	0.84	$46.52M	2007	Consumer Non-Durables	Farming/Seeds/Milling	http://www.nasdaq.com/symbol/gro
AGU	Agrium Inc.	98.18	$13.57B	n/a	Basic Industries	Agricultural Chemicals	http://www.nasdaq.com/symbol/agu
AL	Air Lease Corporation	29.31	$3.01B	2011	Technology	Diversified Commercial Services	http://www.nasdaq.com/symbol/al
APD	Air Products and Chemicals, Inc.	157.09	$34.02B	n/a	Basic Industries	Major Chemicals	http://www.nasdaq.com/symbol/apd
AYR	Aircastle Limited	21.7	$1.71B	2006	Technology	Diversified Commercial Services	http://www.nasdaq.com/symbol/ayr
AKS	AK Steel Holding Corporation	4.35	$1.04B	n/a	Basic Industries	Steel/Iron Ore	http://www.nasdaq.com/symbol/aks
ALP^O	Alabama Power Company	30.325	n/a	n/a	Public Utilities	Electric Utilities: Central	http://www.nasdaq.com/symbol/alp^o
ALG	Alamo Group, Inc.	65.16	$749.21M	n/a	Capital Goods	Industrial Machinery/Components	http://www.nasdaq.com/symbol/alg
AGI	Alamos Gold Inc.	7.78	$2.07B	2015	Basic Industries	Precious Metals	http://www.nasdaq.com/symbol/agi
ALK	Alaska Air Group, Inc.	68.21	$8.4B	n/a	Transportation	Air Freight/Delivery Services	http://www.nasdaq.com/symbol/alk
AIN	Albany International Corporation	43.4	$1.39B	n/a	Basic Industries	Textiles	http://www.nasdaq.com/symbol/ain
ALB	Albemarle Corporation	81.96	$9.21B	n/a	Basic Industries	Major Chemicals	http://www.nasdaq.com/symbol/alb
AA	Alcoa Inc.	10.13	$13.32B	n/a	Capital Goods	Metal Fabrications	http://www.nasdaq.com/symbol/aa
AA^B	Alcoa Inc.	34	n/a	n/a	n/a	n/a	http://www.nasdaq.com/symbol/aa^b
ALR	Alere Inc.	39.13	$3.39B	n/a	Health Care	Biotechnology: In Vitro & In Vivo Diagnostic Substances	http://www.nasdaq.com/symbol/alr
ALR^B	Alere Inc.	329	n/a	n/a	n/a	n/a	http://www.nasdaq.com/symbol/alr^b
ALEX	Alexander & Baldwin Holdings, Inc.	40.66	$1.99B	n/a	Finance	Real Estate	http://www.nasdaq.com/symbol/alex
ALX	Alexander&#39;s, Inc.	431.14	$2.2B	n/a	Consumer Services	Real Estate Investment Trusts	http://www.nasdaq.com/symbol/alx
ARE	Alexandria Real Estate Equities, Inc.	111.85	$8.72B	n/a	Consumer Services	Real Estate Investment Trusts	http://www.nasdaq.com/symbol/are
ARE^D	Alexandria Real Estate Equities, Inc.	34.7971	n/a	n/a	n/a	n/a	http://www.nasdaq.com/symbol/are^d
ARE^E	Alexandria Real Estate Equities, Inc.	25.95	n/a	n/a	n/a	n/a	http://www.nasdaq.com/symbol/are^e
BABA	Alibaba Group Holding Limited	99.25	$248.13B	2014	Miscellaneous	Business Services	http://www.nasdaq.com/symbol/baba
Y	Alleghany Corporation	537.63	$8.3B	n/a	Finance	Property-Casualty Insurers	http://www.nasdaq.com/symbol/y
ATI	Allegheny Technologies Incorporated	17.04	$1.86B	n/a	Basic Industries	Steel/Iron Ore	http://www.nasdaq.com/symbol/ati
ALLE	Allegion plc	72.39	$6.94B	2013	Consumer Services	Diversified Commercial Services	http://www.nasdaq.com/symbol/alle
AGN	Allergan plc.	235.96	$93.43B	2013	Health Care	Major Pharmaceuticals	http://www.nasdaq.com/symbol/agn
AGN^A	Allergan plc.	835.928	n/a	n/a	n/a	n/a	http://www.nasdaq.com/symbol/agn^a
ALE	Allete, Inc.	60.51	$2.99B	n/a	Public Utilities	Power Generation	http://www.nasdaq.com/symbol/ale
AKP	Alliance California Municipal Income Fund Inc	15.55	$133.03M	2002	n/a	n/a	http://www.nasdaq.com/symbol/akp
ADS	Alliance Data Systems Corporation	209.9	$12.29B	2001	Miscellaneous	Business Services	http://www.nasdaq.com/symbol/ads
AFB	Alliance National Municipal Income Fund Inc	14.86	$427.15M	2002	n/a	n/a	http://www.nasdaq.com/symbol/afb
AOI	Alliance One International, Inc.	21.66	$210.29M	n/a	Consumer Services	Farming/Seeds/Milling	http://www.nasdaq.com/symbol/aoi
AWF	Alliance World Dollar Government Fund II	12.89	$1.11B	1993	n/a	n/a	http://www.nasdaq.com/symbol/awf
AB	AllianceBernstein Holding L.P.	22.01	$2.12B	n/a	Finance	Investment Managers	http://www.nasdaq.com/symbol/ab
LNT	Alliant Energy Corporation	38.21	$8.69B	n/a	Public Utilities	Power Generation	http://www.nasdaq.com/symbol/lnt
NCV	AllianzGI Convertible & Income Fund	6.67	$587.56M	2003	n/a	n/a	http://www.nasdaq.com/symbol/ncv
NCZ	AllianzGI Convertible & Income Fund II	5.89	$438.4M	2003	n/a	n/a	http://www.nasdaq.com/symbol/ncz
ACV	AllianzGI Diversified Income & Convertible Fund	19.22	$197.48M	2015	n/a	n/a	http://www.nasdaq.com/symbol/acv
NIE	AllianzGI Equity & Convertible Income Fund	19.15	$530.63M	2007	n/a	n/a	http://www.nasdaq.com/symbol/nie
NFJ	AllianzGI NFJ Dividend, Interest & Premium Strategy Fund	13.03	$1.24B	2005	Finance	Finance: Consumer Services	http://www.nasdaq.com/symbol/nfj
AWH	Allied World Assurance Company Holdings, AG	40.59	$3.84B	2006	Finance	Property-Casualty Insurers	http://www.nasdaq.com/symbol/awh
ALSN	Allison Transmission Holdings, Inc.	27.83	$4.66B	2012	Capital Goods	Auto Parts:O.E.M.	http://www.nasdaq.com/symbol/alsn
ALL	Allstate Corporation (The)	68.95	$25.61B	n/a	Finance	Property-Casualty Insurers	http://www.nasdaq.com/symbol/all
ALL^A	Allstate Corporation (The)	27.35	n/a	n/a	n/a	n/a	http://www.nasdaq.com/symbol/all^a
ALL^B	Allstate Corporation (The)	27.82	n/a	n/a	n/a	n/a	http://www.nasdaq.com/symbol/all^b
ALL^C	Allstate Corporation (The)	27.9399	n/a	n/a	n/a	n/a	http://www.nasdaq.com/symbol/all^c
ALL^D	Allstate Corporation (The)	27.97	n/a	n/a	n/a	n/a	http://www.nasdaq.com/symbol/all^d
ALL^E	Allstate Corporation (The)	28.14	n/a	n/a	n/a	n/a	http://www.nasdaq.com/symbol/all^e
ALL^F	Allstate Corporation (The)	28.36	n/a	n/a	n/a	n/a	http://www.nasdaq.com/symbol/all^f
ALLY	Ally Financial Inc.	19.82	$9.59B	2014	Finance	Finance: Consumer Services	http://www.nasdaq.com/symbol/ally
ALLY^A	Ally Financial Inc.	25.3	n/a	n/a	n/a	n/a	http://www.nasdaq.com/symbol/ally^a
ALJ	Alon USA Energy, Inc.	8.16	$582.72M	2005	Energy	Integrated oil Companies	http://www.nasdaq.com/symbol/alj
ALDW	Alon USA Partners, LP	11.31	$707.1M	2012	Energy	Integrated oil Companies	http://www.nasdaq.com/symbol/aldw
AGD	Alpine Global Dynamic Dividend Fund	8.92	$111.94M	2006	n/a	n/a	http://www.nasdaq.com/symbol/agd
AWP	Alpine Global Premier Properties Fund	5.9	$503.91M	2007	n/a	n/a	http://www.nasdaq.com/symbol/awp
AOD	Alpine Total Dynamic Dividend Fund	7.71	$829.54M	2007	n/a	n/a	http://www.nasdaq.com/symbol/aod
RESI	Altisource Residential Corporation	11.14	$606.74M	n/a	Finance	Real Estate	http://www.nasdaq.com/symbol/resi
MO	Altria Group	66.88	$130.67B	n/a	Consumer Non-Durables	Farming/Seeds/Milling	http://www.nasdaq.com/symbol/mo
ACH	Aluminum Corporation of China Limited	9.32	$5.56B	2001	Basic Industries	Aluminum	http://www.nasdaq.com/symbol/ach
AMBR	Amber Road, Inc.	11.01	$291.33M	2014	Technology	Computer Software: Prepackaged Software	http://www.nasdaq.com/symbol/ambr
ABEV	Ambev S.A.	6.13	$96.35B	2013	Consumer Non-Durables	Beverages (Production/Distribution)	http://www.nasdaq.com/symbol/abev
AMC	AMC Entertainment Holdings, Inc.	30.5	$2.97B	2013	Consumer Services	Movies/Entertainment	http://www.nasdaq.com/symbol/amc
AMFW	Amec Plc Ord	7.71	$3.03B	2014	Consumer Services	Military/Government/Technical	http://www.nasdaq.com/symbol/amfw
AEE	Ameren Corporation	49.66	$12.05B	n/a	Public Utilities	Power Generation	http://www.nasdaq.com/symbol/aee
AMRC	Ameresco, Inc.	5.08	$236.47M	2010	Basic Industries	Engineering & Construction	http://www.nasdaq.com/symbol/amrc
AMX	America Movil, S.A.B. de C.V.	11.81	$38.97B	n/a	Public Utilities	Telecommunications Equipment	http://www.nasdaq.com/symbol/amx
AAT	American Assets Trust, Inc.	44.52	$2.02B	2011	Consumer Services	Real Estate Investment Trusts	http://www.nasdaq.com/symbol/aat
AXL	American Axle & Manufacturing Holdings, Inc.	17.4	$1.33B	n/a	Capital Goods	Auto Parts:O.E.M.	http://www.nasdaq.com/symbol/axl
ACC	American Campus Communities Inc	50.98	$6.65B	2004	Consumer Services	Real Estate Investment Trusts	http://www.nasdaq.com/symbol/acc
AEO	American Eagle Outfitters, Inc.	18.4	$3.34B	n/a	Consumer Services	Clothing/Shoe/Accessory Stores	http://www.nasdaq.com/symbol/aeo
AEP	American Electric Power Company, Inc.	65.24	$32.08B	n/a	Public Utilities	Electric Utilities: Central	http://www.nasdaq.com/symbol/aep
AEL	American Equity Investment Life Holding Company	17.85	$1.57B	2003	Finance	Life Insurance	http://www.nasdaq.com/symbol/ael
AXP	American Express Company	65.19	$60.22B	n/a	Finance	Finance: Consumer Services	http://www.nasdaq.com/symbol/axp
AFA	American Financial Group, Inc.	25.8774	n/a	2012	Finance	Property-Casualty Insurers	http://www.nasdaq.com/symbol/afa
AFG	American Financial Group, Inc.	75.07	$6.52B	n/a	Finance	Property-Casualty Insurers	http://www.nasdaq.com/symbol/afg
AFGE	American Financial Group, Inc.	27.7871	n/a	2014	Finance	Property-Casualty Insurers	http://www.nasdaq.com/symbol/afge
AFGH	American Financial Group, Inc.	27.4801	n/a	2015	Finance	Property-Casualty Insurers	http://www.nasdaq.com/symbol/afgh
AFW	American Financial Group, Inc.	26.189	n/a	n/a	Finance	Property-Casualty Insurers	http://www.nasdaq.com/symbol/afw
AMH	American Homes 4 Rent	22.32	$5.32B	2013	Consumer Services	Real Estate Investment Trusts	http://www.nasdaq.com/symbol/amh
AMH^A	American Homes 4 Rent	28.0217	n/a	n/a	Consumer Services	Real Estate Investment Trusts	http://www.nasdaq.com/symbol/amh^a
AMH^B	American Homes 4 Rent	27.75	n/a	n/a	n/a	n/a	http://www.nasdaq.com/symbol/amh^b
AMH^C	American Homes 4 Rent	27.6299	n/a	n/a	n/a	n/a	http://www.nasdaq.com/symbol/amh^c
AMH^D	American Homes 4 Rent	27.47	n/a	n/a	n/a	n/a	http://www.nasdaq.com/symbol/amh^d
AMH^E	American Homes 4 Rent	26.2	n/a	n/a	n/a	n/a	http://www.nasdaq.com/symbol/amh^e
AIG	American International Group, Inc.	59.86	$64.09B	n/a	Finance	Property-Casualty Insurers	http://www.nasdaq.com/symbol/aig
AIG.WS	American International Group, Inc.	n/a	n/a	n/a	n/a	n/a	http://www.nasdaq.com/symbol/aig.ws
AMID	American Midstream Partners, LP	14.28	$444.89M	2011	Public Utilities	Natural Gas Distribution	http://www.nasdaq.com/symbol/amid
ARL	American Realty Investors, Inc.	5.63	$87.35M	n/a	Finance	Real Estate	http://www.nasdaq.com/symbol/arl
ARA	American Renal Associates Holdings, Inc	21.07	$650.39M	2016	Health Care	Hospital/Nursing Management	http://www.nasdaq.com/symbol/ara
AWR	American States Water Company	39.6	$1.45B	n/a	Public Utilities	Water Supply	http://www.nasdaq.com/symbol/awr
AMT	American Tower Corporation (REIT)	115.09	$48.97B	n/a	Consumer Services	Real Estate Investment Trusts	http://www.nasdaq.com/symbol/amt
AMT^A	American Tower Corporation (REIT)	111.99	n/a	n/a	n/a	n/a	http://www.nasdaq.com/symbol/amt^a
AMT^B	American Tower Corporation (REIT)	110.5	n/a	n/a	n/a	n/a	http://www.nasdaq.com/symbol/amt^b
AVD	American Vanguard Corporation	16.75	$491.59M	n/a	Basic Industries	Agricultural Chemicals	http://www.nasdaq.com/symbol/avd
AWK	American Water Works	74.8	$13.31B	2008	Public Utilities	Water Supply	http://www.nasdaq.com/symbol/awk
APU	AmeriGas Partners, L.P.	46.07	$4.28B	n/a	Consumer Services	Other Specialty Stores	http://www.nasdaq.com/symbol/apu
AMP	AMERIPRISE FINANCIAL SERVICES, INC.	101.11	$16.32B	n/a	Finance	Investment Managers	http://www.nasdaq.com/symbol/amp
ABC	AmerisourceBergen Corporation (Holding Co)	87.44	$18.78B	n/a	Health Care	Other Pharmaceuticals	http://www.nasdaq.com/symbol/abc
ANFI	Amira Nature Foods Ltd	7.46	$268.3M	2012	Consumer Non-Durables	Packaged Foods	http://www.nasdaq.com/symbol/anfi
AHS	AMN Healthcare Services Inc	36.25	$1.74B	2001	Technology	Professional Services	http://www.nasdaq.com/symbol/ahs
AP	Ampco-Pittsburgh Corporation	11.77	$144.43M	n/a	Capital Goods	Fluid Controls	http://www.nasdaq.com/symbol/ap
APH	Amphenol Corporation	62.58	$19.32B	n/a	Capital Goods	Electrical Products	http://www.nasdaq.com/symbol/aph
BETR	Amplify Snack Brands, inc.	16.95	$1.27B	2015	Consumer Non-Durables	Packaged Foods	http://www.nasdaq.com/symbol/betr
AXR	AMREP Corporation	6.01	$48.51M	n/a	Consumer Services	Newspapers/Magazines	http://www.nasdaq.com/symbol/axr
AME	AMTEK, Inc.	49.15	$11.42B	n/a	Consumer Durables	Metal Fabrications	http://www.nasdaq.com/symbol/ame
AFSI^A	AmTrust Financial Services, Inc.	25.73	n/a	n/a	n/a	n/a	http://www.nasdaq.com/symbol/afsi^a
AFSI^B	AmTrust Financial Services, Inc.	26.1865	n/a	n/a	n/a	n/a	http://www.nasdaq.com/symbol/afsi^b
AFSI^C	AmTrust Financial Services, Inc.	26.5701	n/a	n/a	n/a	n/a	http://www.nasdaq.com/symbol/afsi^c
AFSI^D	AmTrust Financial Services, Inc.	26.83	n/a	n/a	n/a	n/a	http://www.nasdaq.com/symbol/afsi^d
AFSI^E	AmTrust Financial Services, Inc.	27.24	n/a	n/a	n/a	n/a	http://www.nasdaq.com/symbol/afsi^e
AFSS	AmTrust Financial Services, Inc.	26.62	n/a	2015	Finance	Property-Casualty Insurers	http://www.nasdaq.com/symbol/afss
AFST	AmTrust Financial Services, Inc.	27.24	n/a	2015	Finance	Property-Casualty Insurers	http://www.nasdaq.com/symbol/afst
AEUA	Anadarko Petroleum Corporation	37.95	n/a	2015	Energy	Oil & Gas Production	http://www.nasdaq.com/symbol/aeua
APC	Anadarko Petroleum Corporation	56.49	$28.84B	n/a	Energy	Oil & Gas Production	http://www.nasdaq.com/symbol/apc
AU	AngloGold Ashanti Limited	17.04	$6.95B	n/a	Basic Industries	Precious Metals	http://www.nasdaq.com/symbol/au
BUD	Anheuser-Busch Inbev SA	126.76	$203.83B	n/a	Consumer Non-Durables	Beverages (Production/Distribution)	http://www.nasdaq.com/symbol/bud
AXE	Anixter International Inc.	65.64	$2.17B	n/a	Consumer Non-Durables	Telecommunications Equipment	http://www.nasdaq.com/symbol/axe
NLY	Annaly Capital Management Inc	10.89	$10.84B	n/a	Consumer Services	Real Estate Investment Trusts	http://www.nasdaq.com/symbol/nly
NLY^A	Annaly Capital Management Inc	26.12	n/a	n/a	n/a	n/a	http://www.nasdaq.com/symbol/nly^a
NLY^C	Annaly Capital Management Inc	25.5	n/a	n/a	n/a	n/a	http://www.nasdaq.com/symbol/nly^c
NLY^D	Annaly Capital Management Inc	25.6	n/a	n/a	n/a	n/a	http://www.nasdaq.com/symbol/nly^d
NLY^E	Annaly Capital Management Inc	25.47	n/a	n/a	n/a	n/a	http://www.nasdaq.com/symbol/nly^e
AM	Antero Midstream Partners LP	27.75	$4.89B	2014	Public Utilities	Natural Gas Distribution	http://www.nasdaq.com/symbol/am
AR	Antero Resources Corporation	25.92	$7.96B	2013	Energy	Oil & Gas Production	http://www.nasdaq.com/symbol/ar
ANTM	Anthem, Inc.	124.24	$32.7B	n/a	Health Care	Medical Specialities	http://www.nasdaq.com/symbol/antm
ANTX	Anthem, Inc.	42.76	$11.25B	2015	Health Care	Medical Specialities	http://www.nasdaq.com/symbol/antx
ANH	Anworth Mortgage Asset  Corporation	4.92	$472.02M	n/a	Consumer Services	Real Estate Investment Trusts	http://www.nasdaq.com/symbol/anh
ANH^A	Anworth Mortgage Asset  Corporation	25.714	n/a	n/a	n/a	n/a	http://www.nasdaq.com/symbol/anh^a
ANH^B	Anworth Mortgage Asset  Corporation	24.86	n/a	n/a	n/a	n/a	http://www.nasdaq.com/symbol/anh^b
ANH^C	Anworth Mortgage Asset  Corporation	25.15	n/a	n/a	n/a	n/a	http://www.nasdaq.com/symbol/anh^c
AON	Aon plc	112.1	$29.77B	n/a	Finance	Specialty Insurers	http://www.nasdaq.com/symbol/aon
APA	Apache Corporation	51.29	$19.46B	n/a	Energy	Oil & Gas Production	http://www.nasdaq.com/symbol/apa
AIV	Apartment Investment and Management Company	45.82	$7.18B	1994	Consumer Services	Real Estate Investment Trusts	http://www.nasdaq.com/symbol/aiv
AIV^A	Apartment Investment and Management Company	27.55	n/a	n/a	n/a	n/a	http://www.nasdaq.com/symbol/aiv^a
ARI	Apollo Commercial Real Estate Finance	16.66	$1.12B	2009	Consumer Services	Real Estate Investment Trusts	http://www.nasdaq.com/symbol/ari
ARI^A	Apollo Commercial Real Estate Finance	26.11	n/a	n/a	n/a	n/a	http://www.nasdaq.com/symbol/ari^a
APO	Apollo Global Management, LLC	18.9	$7.57B	2011	Finance	Investment Managers	http://www.nasdaq.com/symbol/apo
AIB	Apollo Investment Corporation	26.32	n/a	n/a	n/a	n/a	http://www.nasdaq.com/symbol/aib
AIY	Apollo Investment Corporation	27.07	n/a	2013	n/a	n/a	http://www.nasdaq.com/symbol/aiy
AFT	Apollo Senior Floating Rate Fund Inc.	16.36	$254.78M	2011	n/a	n/a	http://www.nasdaq.com/symbol/aft
AIF	Apollo Tactical Income Fund Inc.	15.3	$221.3M	2013	n/a	n/a	http://www.nasdaq.com/symbol/aif
APLE	Apple Hospitality REIT, Inc.	18.74	$3.27B	2015	Consumer Services	Real Estate Investment Trusts	http://www.nasdaq.com/symbol/aple
AIT	Applied Industrial Technologies, Inc.	48.4	$1.89B	n/a	Consumer Durables	Industrial Specialties	http://www.nasdaq.com/symbol/ait
ATR	AptarGroup, Inc.	79.16	$4.98B	n/a	Consumer Non-Durables	Plastic Products	http://www.nasdaq.com/symbol/atr
WTR	Aqua America, Inc.	30.98	$5.49B	n/a	Public Utilities	Water Supply	http://www.nasdaq.com/symbol/wtr
ARMK	Aramark	38.09	$9.29B	2013	Consumer Services	Restaurants	http://www.nasdaq.com/symbol/armk
ABR	Arbor Realty Trust	7.79	$400.26M	2004	Consumer Services	Real Estate Investment Trusts	http://www.nasdaq.com/symbol/abr
ABR^A	Arbor Realty Trust	25.874	n/a	n/a	n/a	n/a	http://www.nasdaq.com/symbol/abr^a
ABR^B	Arbor Realty Trust	25.59	n/a	n/a	n/a	n/a	http://www.nasdaq.com/symbol/abr^b
ABR^C	Arbor Realty Trust	26	n/a	n/a	n/a	n/a	http://www.nasdaq.com/symbol/abr^c
ABRN	Arbor Realty Trust	25.45	n/a	2014	Consumer Services	Real Estate Investment Trusts	http://www.nasdaq.com/symbol/abrn
ARC	ARC Document Solutions, Inc.	3.47	$164.44M	2004	Consumer Services	Professional Services	http://www.nasdaq.com/symbol/arc
ARCX	Arc Logistic Partners LP	14.69	$283.46M	2013	Energy	Oil Refining/Marketing	http://www.nasdaq.com/symbol/arcx
MT	ArcelorMittal	6.04	$18.46B	n/a	Basic Industries	Steel/Iron Ore	http://www.nasdaq.com/symbol/mt
ARH^C	Arch Capital Group Ltd.	26.87	n/a	n/a	n/a	n/a	http://www.nasdaq.com/symbol/arh^c
ADM	Archer-Daniels-Midland Company	43.82	$25.49B	n/a	Consumer Non-Durables	Packaged Foods	http://www.nasdaq.com/symbol/adm
AROC	Archrock, Inc.	11.51	$801.45M	n/a	Technology	Diversified Commercial Services	http://www.nasdaq.com/symbol/aroc
ARCO	Arcos Dorados Holdings Inc.	4.82	$1.02B	2011	Consumer Services	Restaurants	http://www.nasdaq.com/symbol/arco
