symbol	company_name	LastSale	MarketCap	IPOyear	Sector	industry	quote
ACOR	Acorda Therapeutics, Inc.	24.27	$1.12B	2006	Health Care	Biotechnology: Biological Products (No Diagnostic Substances)	http://www.nasdaq.com/symbol/acor
ACTS	Actions Semiconductor Co., Ltd.	2.05	$90.81M	2005	Technology	Semiconductors	http://www.nasdaq.com/symbol/acts
ATVI	Activision Blizzard, Inc	42.8	$31.73B	n/a	Technology	Computer Software: Prepackaged Software	http://www.nasdaq.com/symbol/atvi
ACTA	Actua Corporation	10.59	$418.39M	n/a	Technology	EDP Services	http://www.nasdaq.com/symbol/acta
ACXM	Acxiom Corporation	26.405	$2.04B	n/a	Technology	EDP Services	http://www.nasdaq.com/symbol/acxm
ADAP	Adaptimmune Therapeutics plc	6.62	$468.6M	2015	Health Care	Biotechnology: Biological Products (No Diagnostic Substances)	http://www.nasdaq.com/symbol/adap
ADUS	Addus HomeCare Corporation	24.87	$285.1M	2009	Health Care	Medical/Nursing Services	http://www.nasdaq.com/symbol/adus
ADBE	Adobe Systems Incorporated	103.57	$51.61B	1986	Technology	Computer Software: Prepackaged Software	http://www.nasdaq.com/symbol/adbe
ADTN	ADTRAN, Inc.	18.83	$911.35M	1994	Public Utilities	Telecommunications Equipment	http://www.nasdaq.com/symbol/adtn
ADRO	Aduro Biotech, Inc.	14.49	$938.29M	2015	Health Care	Major Pharmaceuticals	http://www.nasdaq.com/symbol/adro
AAAP	Advanced Accelerator Applications S.A.	34.63	$1.36B	2015	Health Care	Major Pharmaceuticals	http://www.nasdaq.com/symbol/aaap
AEIS	Advanced Energy Industries, Inc.	45.39	$1.8B	1995	Capital Goods	Industrial Machinery/Components	http://www.nasdaq.com/symbol/aeis
AITP	Advanced Inhalation Therapies (AIT) Ltd.	n/a	n/a	n/a	n/a	n/a	http://www.nasdaq.com/symbol/aitp
ADXSW	Advaxis, Inc.	7.55	n/a	n/a	Health Care	Major Pharmaceuticals	http://www.nasdaq.com/symbol/adxsw
MAUI	AdvisorShares Market Adaptive Unconstrained Income ETF	24.0741	$1.2M	n/a	n/a	n/a	http://www.nasdaq.com/symbol/maui
YPRO	AdvisorShares YieldPro ETF	23.6899	$18.36M	n/a	n/a	n/a	http://www.nasdaq.com/symbol/ypro
AEGR	Aegerion Pharmaceuticals, Inc.	1.6	$47.22M	2010	Health Care	Major Pharmaceuticals	http://www.nasdaq.com/symbol/aegr
AEGN	Aegion Corp	19.01	$657.76M	n/a	Basic Industries	Water Supply	http://www.nasdaq.com/symbol/aegn
AEPI	AEP Industries Inc.	111.39	$569.63M	1986	Capital Goods	Specialty Chemicals	http://www.nasdaq.com/symbol/aepi
AVAV	AeroVironment, Inc.	24.83	$579.91M	2007	Capital Goods	Aerospace	http://www.nasdaq.com/symbol/avav
AGYS	Agilysys, Inc.	11.56	$265.18M	n/a	Technology	EDP Services	http://www.nasdaq.com/symbol/agys
AGIO	Agios Pharmaceuticals, Inc.	36.35	$1.38B	2013	Health Care	Major Pharmaceuticals	http://www.nasdaq.com/symbol/agio
AGFS	AgroFresh Solutions, Inc.	5.92	$295.83M	2014	Finance	Business Services	http://www.nasdaq.com/symbol/agfs
AGFSW	AgroFresh Solutions, Inc.	0.89	n/a	2014	Finance	Business Services	http://www.nasdaq.com/symbol/agfsw
AIMT	Aimmune Therapeutics, Inc.	14.7	$621.14M	2015	Health Care	Major Pharmaceuticals	http://www.nasdaq.com/symbol/aimt
AIRM	Air Methods Corporation	35.79	$1.36B	n/a	Transportation	Transportation Services	http://www.nasdaq.com/symbol/airm
ATSG	Air Transport Services Group, Inc	14.5	$865.05M	n/a	Transportation	Air Freight/Delivery Services	http://www.nasdaq.com/symbol/atsg
AMCN	AirMedia Group Inc	3.02	$187.84M	2007	Technology	Advertising	http://www.nasdaq.com/symbol/amcn
AIXG	Aixtron SE	6.11	$681.76M	n/a	Technology	Industrial Machinery/Components	http://www.nasdaq.com/symbol/aixg
AKAM	Akamai Technologies, Inc.	55.33	$9.67B	1999	Miscellaneous	Business Services	http://www.nasdaq.com/symbol/akam
AKRX	Akorn, Inc.	26.47	$3.34B	n/a	Health Care	Major Pharmaceuticals	http://www.nasdaq.com/symbol/akrx
ALRM	Alarm.com Holdings, Inc.	28	$1.28B	2015	Technology	Computer Software: Prepackaged Software	http://www.nasdaq.com/symbol/alrm
ALSK	Alaska Communications Systems Group, Inc.	1.73	$88.82M	1999	Public Utilities	Telecommunications Equipment	http://www.nasdaq.com/symbol/alsk
AMRI	Albany Molecular Research, Inc.	14.65	$628.04M	1999	Health Care	Biotechnology: Commercial Physical & Biological Resarch	http://www.nasdaq.com/symbol/amri
ABDC	Alcentra Capital Corp.	12.68	$171.06M	n/a	n/a	n/a	http://www.nasdaq.com/symbol/abdc
ALXN	Alexion Pharmaceuticals, Inc.	123.67	$27.73B	1996	Health Care	Major Pharmaceuticals	http://www.nasdaq.com/symbol/alxn
ALCO	Alico, Inc.	28.16	$234.17M	n/a	Consumer Non-Durables	Farming/Seeds/Milling	http://www.nasdaq.com/symbol/alco
ALGN	Align Technology, Inc.	95.78	$7.67B	2001	Health Care	Industrial Specialties	http://www.nasdaq.com/symbol/algn
ALKS	Alkermes plc	45.12	$6.84B	1991	Health Care	Major Pharmaceuticals	http://www.nasdaq.com/symbol/alks
ALGT	Allegiant Travel Company	136.37	$2.25B	2006	Transportation	Air Freight/Delivery Services	http://www.nasdaq.com/symbol/algt
AHGP	Alliance Holdings GP, L.P.	25.18	$1.51B	2006	Energy	Coal Mining	http://www.nasdaq.com/symbol/ahgp
ARLP	Alliance Resource Partners, L.P.	20.83	$1.55B	1999	Energy	Coal Mining	http://www.nasdaq.com/symbol/arlp
ALLT	Allot Communications Ltd.	5.28	$177.19M	2006	Technology	Computer Communications Equipment	http://www.nasdaq.com/symbol/allt
MDRX	Allscripts Healthcare Solutions, Inc.	12.88	$2.4B	n/a	Technology	EDP Services	http://www.nasdaq.com/symbol/mdrx
AFAM	Almost Family Inc	36.63	$380.49M	n/a	Health Care	Medical/Nursing Services	http://www.nasdaq.com/symbol/afam
ALNY	Alnylam Pharmaceuticals, Inc.	69.17	$5.93B	2004	Health Care	Major Pharmaceuticals	http://www.nasdaq.com/symbol/alny
AOSL	Alpha and Omega Semiconductor Limited	21.59	$491.3M	2010	Technology	Semiconductors	http://www.nasdaq.com/symbol/aosl
GOOG	Alphabet Inc.	771.46	$530.2B	2004	Technology	Computer Software: Programming, Data Processing	http://www.nasdaq.com/symbol/goog
GOOGL	Alphabet Inc.	796.87	$547.67B	n/a	Technology	Computer Software: Programming, Data Processing	http://www.nasdaq.com/symbol/googl
SMCP	AlphaMark Actively Managed Small Cap ETF	22.32	$24.55M	n/a	n/a	n/a	http://www.nasdaq.com/symbol/smcp
ATEC	Alphatec Holdings, Inc.	4.49	$3.2M	2006	Health Care	Medical/Dental Instruments	http://www.nasdaq.com/symbol/atec
ASPS	Altisource Portfolio Solutions S.A.	33.9	$622.05M	n/a	Consumer Services	Other Consumer Services	http://www.nasdaq.com/symbol/asps
AIMC	Altra Industrial Motion Corp.	28.72	$743.97M	2006	Capital Goods	Industrial Machinery/Components	http://www.nasdaq.com/symbol/aimc
AMAG	AMAG Pharmaceuticals, Inc.	23.66	$808.08M	n/a	Health Care	Major Pharmaceuticals	http://www.nasdaq.com/symbol/amag
AMRN	Amarin Corporation PLC	2.92	$541.03M	n/a	Health Care	Major Pharmaceuticals	http://www.nasdaq.com/symbol/amrn
AMRK	A-Mark Precious Metals, Inc.	17.38	$121.61M	n/a	Basic Industries	Other Specialty Stores	http://www.nasdaq.com/symbol/amrk
AYA	Amaya Inc.	15.44	$2.24B	n/a	Technology	Computer Software: Programming, Data Processing	http://www.nasdaq.com/symbol/aya
AMZN	Amazon.com, Inc.	772.44	$366.19B	1997	Consumer Services	Catalog/Specialty Distribution	http://www.nasdaq.com/symbol/amzn
AMBC	Ambac Financial Group, Inc.	18.23	$822.57M	n/a	Finance	Property-Casualty Insurers	http://www.nasdaq.com/symbol/ambc
AMBCW	Ambac Financial Group, Inc.	8.64	n/a	n/a	Finance	Property-Casualty Insurers	http://www.nasdaq.com/symbol/ambcw
AMBA	Ambarella, Inc.	66.99	$2.2B	2012	Technology	Semiconductors	http://www.nasdaq.com/symbol/amba
AMCX	AMC Networks Inc.	54.87	$3.92B	n/a	Consumer Services	Television Services	http://www.nasdaq.com/symbol/amcx
DOX	Amdocs Limited	60.91	$9.01B	n/a	Technology	EDP Services	http://www.nasdaq.com/symbol/dox
AMED	Amedisys Inc	49.49	$1.66B	n/a	Health Care	Medical/Nursing Services	http://www.nasdaq.com/symbol/amed
UHAL	Amerco	347.74	$6.82B	n/a	Consumer Services	Rental/Leasing Companies	http://www.nasdaq.com/symbol/uhal
ATAX	America First Multifamily Investors, L.P.	5.9901	$360.92M	n/a	Finance	Finance: Consumer Services	http://www.nasdaq.com/symbol/atax
AMOV	America Movil, S.A.B. de C.V.	11.96	$39.47B	n/a	Public Utilities	Telecommunications Equipment	http://www.nasdaq.com/symbol/amov
AAL	American Airlines Group, Inc.	36.53	$19.36B	n/a	Transportation	Air Freight/Delivery Services	http://www.nasdaq.com/symbol/aal
AGNC	American Capital Agency Corp.	19.57	$6.48B	2008	Consumer Services	Real Estate Investment Trusts	http://www.nasdaq.com/symbol/agnc
AGNCB	American Capital Agency Corp.	26.27	$9.1B	n/a	Consumer Services	Real Estate Investment Trusts	http://www.nasdaq.com/symbol/agncb
AGNCP	American Capital Agency Corp.	26.24	n/a	n/a	Consumer Services	Real Estate Investment Trusts	http://www.nasdaq.com/symbol/agncp
MTGE	American Capital Mortgage Investment Corp.	17.34	$794.13M	2011	Consumer Services	Real Estate Investment Trusts	http://www.nasdaq.com/symbol/mtge
MTGEP	American Capital Mortgage Investment Corp.	25.7	$51.4M	n/a	Consumer Services	Real Estate Investment Trusts	http://www.nasdaq.com/symbol/mtgep
ACSF	American Capital Senior Floating, Ltd.	11.31	$113.1M	2014	n/a	n/a	http://www.nasdaq.com/symbol/acsf
ACAS	American Capital, Ltd.	17.05	$3.67B	1997	n/a	n/a	http://www.nasdaq.com/symbol/acas
AMNB	American National Bankshares, Inc.	26.94	$231.93M	n/a	Finance	Major Banks	http://www.nasdaq.com/symbol/amnb
ANAT	American National Insurance Company	116	$3.12B	n/a	Finance	Life Insurance	http://www.nasdaq.com/symbol/anat
APEI	American Public Education, Inc.	20.8	$334.31M	2007	Consumer Services	Other Consumer Services	http://www.nasdaq.com/symbol/apei
ARII	American Railcar Industries, Inc.	41.04	$796.15M	2006	Capital Goods	Railroads	http://www.nasdaq.com/symbol/arii
AMRB	American River Bankshares	10.43	$69.43M	n/a	Finance	Major Banks	http://www.nasdaq.com/symbol/amrb
ASEI	American Science and Engineering, Inc.	37.13	$265.04M	n/a	Health Care	Medical Electronics	http://www.nasdaq.com/symbol/asei
AMSWA	American Software, Inc.	10.47	$303.58M	n/a	Technology	Computer Software: Prepackaged Software	http://www.nasdaq.com/symbol/amswa
AMSC	American Superconductor Corporation	7.14	$101.31M	1991	Consumer Durables	Metal Fabrications	http://www.nasdaq.com/symbol/amsc
AMWD	American Woodmark Corporation	87.77	$1.43B	1986	Basic Industries	Forest Products	http://www.nasdaq.com/symbol/amwd
CRMT	America&#39;s Car-Mart, Inc.	40.87	$327.65M	n/a	Consumer Durables	Automotive Aftermarket	http://www.nasdaq.com/symbol/crmt
ABCB	Ameris Bancorp	35.25	$1.23B	1994	Finance	Major Banks	http://www.nasdaq.com/symbol/abcb
AMSF	AMERISAFE, Inc.	60.72	$1.17B	2005	Finance	Property-Casualty Insurers	http://www.nasdaq.com/symbol/amsf
ASRVP	AmeriServ Financial Inc.	27.2999	n/a	n/a	Finance	Major Banks	http://www.nasdaq.com/symbol/asrvp
AMGN	Amgen Inc.	169.77	$127.05B	1983	Health Care	Biotechnology: Biological Products (No Diagnostic Substances)	http://www.nasdaq.com/symbol/amgn
AMKR	Amkor Technology, Inc.	9.25	$2.2B	1998	Technology	Semiconductors	http://www.nasdaq.com/symbol/amkr
AMPH	Amphastar Pharmaceuticals, Inc.	18.56	$837.45M	2014	Health Care	Major Pharmaceuticals	http://www.nasdaq.com/symbol/amph
IBUY	Amplify Online Retail ETF	27.6028	n/a	n/a	n/a	n/a	http://www.nasdaq.com/symbol/ibuy
AMSG	Amsurg Corp.	67.29	$3.69B	n/a	Health Care	Medical/Nursing Services	http://www.nasdaq.com/symbol/amsg
AMSGP	Amsurg Corp.	128.01	$220.82M	n/a	Health Care	Medical/Nursing Services	http://www.nasdaq.com/symbol/amsgp
ASYS	Amtech Systems, Inc.	5.39	$71.01M	n/a	Technology	Industrial Machinery/Components	http://www.nasdaq.com/symbol/asys
AFSI	AmTrust Financial Services, Inc.	26.57	$4.53B	n/a	Finance	Property-Casualty Insurers	http://www.nasdaq.com/symbol/afsi
AMRS	Amyris, Inc.	0.4103	$96.43M	2010	Basic Industries	Major Chemicals	http://www.nasdaq.com/symbol/amrs
ADI	Analog Devices, Inc.	63.15	$19.42B	n/a	Technology	Semiconductors	http://www.nasdaq.com/symbol/adi
ALOG	Analogic Corporation	91	$1.13B	1972	Capital Goods	Electrical Products	http://www.nasdaq.com/symbol/alog
ANDAU	Andina Acquisition Corp. II	10.3	$17M	2015	Finance	Business Services	http://www.nasdaq.com/symbol/andau
ANGI	Angie&#39;s List, Inc.	10.35	$608.38M	2011	Consumer Services	Advertising	http://www.nasdaq.com/symbol/angi
ANGO	AngioDynamics, Inc.	16.75	$610.08M	2004	Health Care	Medical/Dental Instruments	http://www.nasdaq.com/symbol/ango
ANIK	Anika Therapeutics Inc.	47.89	$707.7M	n/a	Health Care	Medical/Dental Instruments	http://www.nasdaq.com/symbol/anik
ANSS	ANSYS, Inc.	95.66	$8.34B	1996	Technology	Computer Software: Prepackaged Software	http://www.nasdaq.com/symbol/anss
ABAC	Aoxin Tianli Group, Inc.	0.6617	$21.14M	n/a	Consumer Non-Durables	Farming/Seeds/Milling	http://www.nasdaq.com/symbol/abac
APIC	Apigee Corporation	15.91	$476.45M	2015	Technology	Computer Software: Prepackaged Software	http://www.nasdaq.com/symbol/apic
APOG	Apogee Enterprises, Inc.	48.49	$1.4B	n/a	Capital Goods	Auto Parts:O.E.M.	http://www.nasdaq.com/symbol/apog
APOL	Apollo Education Group, Inc.	8.9	$968.14M	1994	Consumer Services	Other Consumer Services	http://www.nasdaq.com/symbol/apol
AINV	Apollo Investment Corporation	6.09	$1.37B	2004	n/a	n/a	http://www.nasdaq.com/symbol/ainv
AMEH	Apollo Medical Holdings, Inc.	5.25	n/a	n/a	n/a	n/a	http://www.nasdaq.com/symbol/ameh
APPF	AppFolio, Inc.	18.45	$620.77M	2015	Technology	Computer Software: Prepackaged Software	http://www.nasdaq.com/symbol/appf
AAPL	Apple Inc.	107.73	$580.5B	1980	Technology	Computer Manufacturing	http://www.nasdaq.com/symbol/aapl
AMAT	Applied Materials, Inc.	30.02	$32.45B	1972	Technology	Semiconductors	http://www.nasdaq.com/symbol/amat
AMCC	Applied Micro Circuits Corporation	7.16	$611.22M	1997	Technology	Semiconductors	http://www.nasdaq.com/symbol/amcc
AREX	Approach Resources Inc.	3.56	$148.14M	2007	Energy	Oil & Gas Production	http://www.nasdaq.com/symbol/arex
APVO	Aptevo Therapeutics Inc.	2.65	$53.61M	n/a	Health Care	Major Pharmaceuticals	http://www.nasdaq.com/symbol/apvo
APTO	Aptose Biosciences, Inc.	2.2	$28.3M	n/a	Health Care	Biotechnology: Biological Products (No Diagnostic Substances)	http://www.nasdaq.com/symbol/apto
AUMAU	AR Capital Acquisition Corp.	9.9997	n/a	2014	Finance	Business Services	http://www.nasdaq.com/symbol/aumau
AUMAW	AR Capital Acquisition Corp.	0.0736	n/a	2014	Finance	Business Services	http://www.nasdaq.com/symbol/aumaw
ARLZ	Aralez Pharmaceuticals Inc.	5	$319.8M	n/a	Health Care	Major Pharmaceuticals	http://www.nasdaq.com/symbol/arlz
ABUS	Arbutus Biopharma Corporation	3.76	$206.04M	n/a	Health Care	Major Pharmaceuticals	http://www.nasdaq.com/symbol/abus
ARCB	ArcBest Corporation	18.7	$481.52M	n/a	Transportation	Trucking Freight/Courier Services	http://www.nasdaq.com/symbol/arcb
ACGL	Arch Capital Group Ltd.	81.75	$10.02B	n/a	Finance	Property-Casualty Insurers	http://www.nasdaq.com/symbol/acgl
APLP	Archrock Partners, L.P.	15	$900.54M	n/a	Public Utilities	Natural Gas Distribution	http://www.nasdaq.com/symbol/aplp
ACAT	Arctic Cat Inc.	14.49	$189.06M	1990	Capital Goods	Industrial Specialties	http://www.nasdaq.com/symbol/acat
ARNA	Arena Pharmaceuticals, Inc.	1.57	$381.91M	2000	Health Care	Major Pharmaceuticals	http://www.nasdaq.com/symbol/arna
ARCC	Ares Capital Corporation	16.39	$5.15B	2004	n/a	n/a	http://www.nasdaq.com/symbol/arcc
AGII	Argo Group International Holdings, Ltd.	56.705	$1.7B	n/a	Finance	Specialty Insurers	http://www.nasdaq.com/symbol/agii
AGIIL	Argo Group International Holdings, Ltd.	26.2	n/a	n/a	Finance	Specialty Insurers	http://www.nasdaq.com/symbol/agiil
ARIA	ARIAD Pharmaceuticals, Inc.	10.12	$1.95B	1994	Health Care	Biotechnology: Biological Products (No Diagnostic Substances)	http://www.nasdaq.com/symbol/aria
ARMH	ARM Holdings plc	67.77	$31.91B	n/a	Technology	Semiconductors	http://www.nasdaq.com/symbol/armh
ARWAR	Arowana Inc.	0.26	n/a	2015	Finance	Business Services	http://www.nasdaq.com/symbol/arwar
ARWAU	Arowana Inc.	10.35	n/a	2015	Finance	Business Services	http://www.nasdaq.com/symbol/arwau
ARRS	ARRIS International plc	28.45	$5.42B	n/a	Technology	Radio And Television Broadcasting And Communications Equipment	http://www.nasdaq.com/symbol/arrs
DWAT	Arrow DWA Tactical ETF	10.36	$9.32M	n/a	n/a	n/a	http://www.nasdaq.com/symbol/dwat
AROW	Arrow Financial Corporation	32.7	$426.04M	n/a	Finance	Major Banks	http://www.nasdaq.com/symbol/arow
ARWR	Arrowhead Pharmaceuticals, Inc.	7.15	$434.36M	n/a	Health Care	Major Pharmaceuticals	http://www.nasdaq.com/symbol/arwr
ARTNA	Artesian Resources Corporation	27.18	$247.53M	n/a	Public Utilities	Water Supply	http://www.nasdaq.com/symbol/artna
PUMP	Asante Solutions, Inc.	n/a	n/a	n/a	n/a	n/a	http://www.nasdaq.com/symbol/pump
ASNA	Ascena Retail Group, Inc.	7.79	$1.51B	n/a	Consumer Services	Clothing/Shoe/Accessory Stores	http://www.nasdaq.com/symbol/asna
ASND	Ascendis Pharma A/S	19.4	$487.49M	2015	Health Care	Major Pharmaceuticals	http://www.nasdaq.com/symbol/asnd
ASCMA	Ascent Capital Group, Inc.	23.3	$287.2M	n/a	Consumer Services	Other Consumer Services	http://www.nasdaq.com/symbol/ascma
APWC	Asia Pacific Wire & Cable Corporation Limited	2.34	$32.34M	n/a	Basic Industries	Telecommunications Equipment	http://www.nasdaq.com/symbol/apwc
ASML	ASML Holding N.V.	107.86	$45.72B	1995	Technology	Industrial Machinery/Components	http://www.nasdaq.com/symbol/asml
AZPN	Aspen Technology, Inc.	45.92	$3.66B	1994	Technology	EDP Services	http://www.nasdaq.com/symbol/azpn
ASFI	Asta Funding, Inc.	11.92	$141.21M	1995	Finance	Finance Companies	http://www.nasdaq.com/symbol/asfi
ASTE	Astec Industries, Inc.	58.87	$1.36B	1986	Capital Goods	Construction/Ag Equipment/Trucks	http://www.nasdaq.com/symbol/aste
ATRO	Astronics Corporation	45.03	$1.14B	n/a	Capital Goods	Military/Government/Technical	http://www.nasdaq.com/symbol/atro
ATAI	ATA Inc.	4.48	$102.71M	2008	Consumer Services	Other Consumer Services	http://www.nasdaq.com/symbol/atai
ATRA	Atara Biotherapeutics, Inc.	19.7	$567.58M	2014	Health Care	Biotechnology: Biological Products (No Diagnostic Substances)	http://www.nasdaq.com/symbol/atra
ATHN	athenahealth, Inc.	123.61	$4.86B	2007	Miscellaneous	Business Services	http://www.nasdaq.com/symbol/athn
ACBI	Atlantic Capital Bancshares, Inc.	15.38	$382.02M	n/a	Finance	Major Banks	http://www.nasdaq.com/symbol/acbi
ABY	Atlantica Yield plc	19.02	$1.91B	2014	Public Utilities	Electric Utilities: Central	http://www.nasdaq.com/symbol/aby
ATLC	Atlanticus Holdings Corporation	3.0801	$46.84M	1995	Finance	Finance: Consumer Services	http://www.nasdaq.com/symbol/atlc
AAWW	Atlas Air Worldwide Holdings	38.86	$964.91M	n/a	Transportation	Transportation Services	http://www.nasdaq.com/symbol/aaww
TEAM	Atlassian Corporation Plc	30.1	$6.51B	2015	Technology	Computer Software: Prepackaged Software	http://www.nasdaq.com/symbol/team
ATNI	ATN International, Inc.	65.31	$1.05B	n/a	Public Utilities	Telecommunications Equipment	http://www.nasdaq.com/symbol/atni
ATRI	ATRION Corporation	462.93	$844.51M	n/a	Health Care	Medical/Dental Instruments	http://www.nasdaq.com/symbol/atri
LIFE	aTyr Pharma, Inc.	2.9	$68.78M	2015	Health Care	Biotechnology: Biological Products (No Diagnostic Substances)	http://www.nasdaq.com/symbol/life
AUDC	AudioCodes Ltd.	5.7	$215.7M	1999	Public Utilities	Telecommunications Equipment	http://www.nasdaq.com/symbol/audc
AUPH	Aurinia Pharmaceuticals Inc	2.05	$72.34M	n/a	Health Care	Major Pharmaceuticals	http://www.nasdaq.com/symbol/auph
EARS	Auris Medical Holding AG	1.71	$58.7M	2014	Health Care	Major Pharmaceuticals	http://www.nasdaq.com/symbol/ears
ADSK	Autodesk, Inc.	68.01	$15.09B	n/a	Technology	Computer Software: Prepackaged Software	http://www.nasdaq.com/symbol/adsk
AGMX	AutoGenomics, Inc.	n/a	n/a	n/a	n/a	n/a	http://www.nasdaq.com/symbol/agmx
ADP	Automatic Data Processing, Inc.	90.39	$41.23B	n/a	Technology	EDP Services	http://www.nasdaq.com/symbol/adp
AVEO	AVEO Pharmaceuticals, Inc.	0.9044	$68.61M	2010	Health Care	Major Pharmaceuticals	http://www.nasdaq.com/symbol/aveo
AVXS	AveXis, Inc.	34.6	$796.28M	2016	Health Care	Biotechnology: Biological Products (No Diagnostic Substances)	http://www.nasdaq.com/symbol/avxs
AVNW	Aviat Networks, Inc.	9.4	$4.12M	n/a	Technology	Radio And Television Broadcasting And Communications Equipment	http://www.nasdaq.com/symbol/avnw
AVID	Avid Technology, Inc.	9.12	$363.17M	1993	Technology	Computer Software: Prepackaged Software	http://www.nasdaq.com/symbol/avid
AVIR	Aviragen Therapeutics, Inc.	1.33	$51.39M	n/a	Health Care	Biotechnology: Biological Products (No Diagnostic Substances)	http://www.nasdaq.com/symbol/avir
CAR	Avis Budget Group, Inc.	35.89	$3.26B	n/a	Consumer Services	Rental/Leasing Companies	http://www.nasdaq.com/symbol/car
ACLS	Axcelis Technologies, Inc.	12.09	$352.52M	2000	Technology	Industrial Machinery/Components	http://www.nasdaq.com/symbol/acls
AXTI	AXT Inc	4.37	$141.55M	1998	Technology	Semiconductors	http://www.nasdaq.com/symbol/axti
AZRX	AzurRx BioPharma, Inc.	n/a	n/a	n/a	n/a	n/a	http://www.nasdaq.com/symbol/azrx
BCOM	B Communications Ltd.	24.08	$719.73M	n/a	Consumer Services	Telecommunications Equipment	http://www.nasdaq.com/symbol/bcom
BEAV	B/E Aerospace, Inc.	52.12	$5.3B	1990	Consumer Durables	Industrial Specialties	http://www.nasdaq.com/symbol/beav
BIDU	Baidu, Inc.	177.78	$61.62B	2005	Technology	Computer Software: Programming, Data Processing	http://www.nasdaq.com/symbol/bidu
BCPC	Balchem Corporation	70.02	$2.21B	n/a	Basic Industries	Major Chemicals	http://www.nasdaq.com/symbol/bcpc
BWINA	Baldwin & Lyons, Inc.	24.45	$368.8M	n/a	Finance	Property-Casualty Insurers	http://www.nasdaq.com/symbol/bwina
BWINB	Baldwin & Lyons, Inc.	25.25	$380.87M	n/a	Finance	Property-Casualty Insurers	http://www.nasdaq.com/symbol/bwinb
BLDP	Ballard Power Systems, Inc.	2.14	$372.66M	n/a	Energy	Industrial Machinery/Components	http://www.nasdaq.com/symbol/bldp
